risk_score,COVID_DEATH_RATE,MODIFIED_ZCTA,NEIGHBORHOOD_NAME
34.34496158215919,253.06,10457,Belmont/Claremont/Mount Hope/Tremont
34.34496158215919,224.94,10457,Crotona - Tremont
34.26257904076925,142.43,10310,Port Richmond/Randall Manor/West Brighton
34.26257904076925,117.3,10310,Port Richmond
34.16911095884668,207.35,11361,Bayside (North)/Bayside (South)
34.16911095884668,132.28,11361,Bayside - Little Neck
34.121542674826905,154.37,11365,Auburndale/Fresh Meadows/Pomonok/Utopia
34.121542674826905,122.59,11365,Fresh Meadows
33.978570024284814,221.07,11436,South Jamaica/South Ozone Park
33.978570024284814,173.02,11436,Jamaica
33.927572723658656,267.81,10040,Washington Heights (North)
33.927572723658656,229.87,10040,Washington Heights - Inwood
33.904266568210524,312.86,11236,Canarsie
33.904266568210524,271.56,11236,Canarsie - Flatlands
33.768785441410884,205.71,10453,Morris Heights/Mount Hope/University Heights
33.768785441410884,182.3,10453,Crotona - Tremont
33.739440445335795,223.58,11210,Flatlands/Midwood
33.739440445335795,186.32,11210,East Flatbush - Flatbush
33.723613879561455,268.89,10029,East Harlem
33.723613879561455,233.38,10029,East Harlem
33.56961966631708,242.59,11225,Crown Heights (West)/Prospect Lefferts Gardens
33.56961966631708,213.13,11225,East Flatbush - Flatbush
33.39436365732927,308.9,11226,Flatbush/Prospect Lefferts Gardens
33.39436365732927,244.29,11226,East Flatbush - Flatbush
33.29124308791185,231.06,10452,Concourse/Highbridge
33.29124308791185,196.01,10452,High Bridge - Morrisania
33.215520914615674,180.08,11356,College Point
33.215520914615674,162.93,11356,Flushing - Clearview
33.16747832355811,234.22,11693,Arverne/Broad Channel
33.16747832355811,201.92,11693,Rockaway
33.08183235126341,239.23,10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square
33.08183235126341,203.02,10462,Pelham - Throgs Neck
32.96289361042897,193.86,10025,Manhattan Valley/Morningside Heights/Upper West Side
32.96289361042897,155.96,10025,Upper West Side
32.943910574998206,279.4,11428,Queens Village
32.943910574998206,191.44,11428,Southeast Queens
32.898010035152204,499.15,11369,Airport/East Elmhurst
32.898010035152204,419.61,11369,West Queens
32.77733051550703,293.42,10468,Fordham/Kingsbridge/University Heights
32.77733051550703,226.91,10468,Fordham - Bronx Park
32.76351319895254,198.69,11422,Rosedale
32.76351319895254,118.62,11422,Southeast Queens
32.723324642915394,408.26,11432,Hillcrest/Jamaica Estates/Jamaica Hills
32.723324642915394,344.96,11432,Jamaica
32.72148754703946,166.97,11426,Bellerose
32.72148754703946,127.68,11426,Southeast Queens
32.678901139348305,221,11420,South Ozone Park
32.678901139348305,187.96,11420,Southwest Queens
32.66467148001747,172.92,11209,Bay Ridge/Fort Hamilton
32.66467148001747,149.07,11209,Bensonhurst - Bay Ridge
32.65476994702129,286.21,10032,Washington Heights (South)
32.65476994702129,240.68,10032,Washington Heights - Inwood
32.567373469115296,170.45,10302,Elm Park
32.567373469115296,159.8,10302,Port Richmond
32.52348126473082,194.39,10030,Central Harlem (North)
32.52348126473082,150.06,10030,Central Harlem - Morningside Height
32.52257186674674,96.35,10065,Lenox Hill/Upper East Side
32.52257186674674,86.02,10065,Upper East Side
32.37830192054829,147.14,10021,Lenox Hill/Upper East Side
32.37830192054829,129.03,10021,Upper East Side
32.37678953200705,96.96,10309,Charleston/Prince's Bay/Woodrow
32.37678953200705,84.84,10309,South Beach - Tottenville
32.30424022901816,415.58,11372,Jackson Heights
32.30424022901816,348.45,11372,West Queens
32.24233573437718,307.68,10044,Roosevelt Island
32.24233573437718,273.5,10044,Upper East Side
32.118025821184624,130.8,10024,Upper West Side
32.118025821184624,111.62,10024,Upper West Side
32.072258695660196,167.16,10034,Inwood/Washington Heights (North)
32.072258695660196,150.9,10034,Washington Heights - Inwood
31.92807797713211,260.13,11435,Briarwood/Jamaica
31.92807797713211,221.98,11435,Jamaica
31.723633302912383,275.55,11415,Kew Gardens
31.723633302912383,213.16,11415,Southwest Queens
31.676876454665923,168.84,10474,Hunts Point
31.676876454665923,136.68,10474,Hunts Point - Mott Haven
31.41714963390258,69.17,10028,Upper East Side/Yorkville
31.41714963390258,59,10028,Upper East Side
31.400655769114366,192.73,11419,Richmond Hill/South Ozone Park
31.400655769114366,157.33,11419,Southwest Queens
31.38282289618509,98.59,10307,Tottenville
31.38282289618509,92.02,10307,South Beach - Tottenville
31.356879017253014,170.65,11220,Sunset Park
31.356879017253014,150.33,11220,Sunset Park
31.34105857740889,219.63,10031,Hamilton Heights/West Harlem
31.34105857740889,184.95,10031,Washington Heights - Inwood
31.291942797866124,179.17,10303,Graniteville/Mariner's Harbor/Port Ivory
31.291942797866124,152.49,10303,Port Richmond
31.288640622200607,181.21,11221,Bedford-Stuyvesant (East)/Bushwick
31.288640622200607,144.48,11221,Williamsburg - Bushwick
31.06643691599116,206.04,10033,Washington Heights (North)/Washington Heights (South)
31.06643691599116,184.09,10033,Washington Heights - Inwood
30.869639554977898,182.04,11218,Kensington/Windsor Terrace
30.869639554977898,156.98,11218,Borough Park
30.787325317153247,87.93,10023,Lincoln Square
30.787325317153247,82.95,10023,Upper West Side
30.600243336469195,151.54,10458,Belmont/Fordham University/Kingsbridge
30.600243336469195,128.87,10458,Fordham - Bronx Park
30.590822207993465,136.84,11216,Bedford-Stuyvesant (West)/Crown Heights (West)
30.590822207993465,108.03,11216,Bedford Stuyvesant - Crown Heights
30.391906946908996,278.18,11418,Richmond Hill
30.391906946908996,225.69,11418,Southwest Queens
30.39182966195191,123.02,10026,Central Harlem (South)
30.39182966195191,97.39,10026,Central Harlem - Morningside Height
30.245143130222424,319.78,11373,Elmhurst
30.245143130222424,291.79,11373,West Queens
30.199312263873193,180.12,11206,Williamsburg (South)
30.199312263873193,168.43,11206,Williamsburg - Bushwick
30.18947813305169,190.4,10075,Lenox Hill/Upper East Side
30.18947813305169,177.71,10075,Upper East Side
29.591877424699515,119.15,10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village
29.591877424699515,108.94,10009,Union Square - Lower East Side
29.452221896368,214.17,11416,Ozone Park
29.452221896368,184.11,11416,Southwest Queens
29.279897592471926,138.93,11385,Glendale/Ridgewood
29.279897592471926,105.9,11385,Ridgewood - Forest Hills
29.11178857584856,142.25,11106,Astoria (South)
29.11178857584856,106.04,11106,Long Island City - Astoria
29.03771200332259,66.83,10128,Upper East Side/Yorkville
29.03771200332259,55.42,10128,Upper East Side
28.88659253321206,122.58,11105,Ditmars Steinway
28.88659253321206,108.65,11105,Long Island City - Astoria
28.802551542750663,195.37,11370,Jackson Heights/Rikers Island
28.802551542750663,149.58,11370,West Queens
28.746589311235105,169.52,11104,Sunnyside
