CANCER_CrudePrev,ARTHRITIS_CrudePrev,STROKE_CrudePrev,CASTHMA_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,KIDNEY_CrudePrev,BPMED_CrudePrev,CSMOKING_CrudePrev,BPHIGH_CrudePrev,OBESITY_CrudePrev,HIGHCHOL_CrudePrev,male_over_65_pct,female_over_65_pct,stateabbr,risk_score_both_pc,risk_score_pc_1,risk_score_pc_2,risk_score_all,total_population,rank_in_country,risk_score
0.055737764723758985,0.1958518649746669,0.023061683271464007,0.09033296313365821,0.045430308023187295,0.042461150431860425,0.07473511854882928,0.023645137254970885,0.6128247848006897,0.17956031088254246,0.28229326950500083,0.343819903153638,0.3095527789725164,0.09276609337790835,0.10678552438999105,AK,13.884175662048213,16.563101283772763,25.073934868860132,20.968479522100797,296112,4,13.884175662048213
0.06191694041589481,0.28593548598931745,0.039929857309615305,0.11227678920086819,0.08201023408854333,0.06642660837507662,0.1309096416414702,0.034235110974209386,0.7596650892796152,0.1949425055145702,0.4017785883386372,0.3714479858308762,0.3412113098979423,0.13264896709633203,0.16170057044458822,AL,64.6142360526704,71.20851221676119,55.24960927297076,71.14299059046921,1529922,50,64.6142360526704
0.0589557235169031,0.23357436671542461,0.03272472212106842,0.0958550680312769,0.07008455680830687,0.060619106759327995,0.102396679725203,0.030360644282021506,0.7291687732533181,0.20907134147041231,0.3492534904937097,0.32742710190267305,0.3214047109363066,0.11254260095884076,0.14315671053026877,AR,43.83312747996887,48.629647976417225,43.38116577926061,49.551855620334656,778044,33,43.83312747996887
0.06084842226875339,0.20896541160506465,0.02679297745605601,0.10316058718628673,0.05902986238485411,0.05037663242776965,0.08950994465556038,0.032850120449102044,0.7062604711735017,0.16836693361256397,0.2693245183626779,0.28939696796769143,0.307509372631358,0.12418138815996335,0.14508904428149644,AZ,37.28354922375047,34.85135323617886,56.57347421439487,32.66839332617331,5353503,24,37.28354922375047
0.053872687409410654,0.1795141770793576,0.026774639881624845,0.08814343799622902,0.04937511827791227,0.04749116667111145,0.09673168029556643,0.02888057995500129,0.6629680178958917,0.13700792749940152,0.26609061012659296,0.24513115543428232,0.3039748310160936,0.10967434151188096,0.13764766450957724,CA,22.149830064771503,20.18683239964866,43.410242361078176,17.692827041324602,31510677,6,22.149830064771503
0.05752460890589169,0.2016985439832757,0.023524981772459094,0.0939217199679766,0.04598423028748416,0.042562094593780304,0.07092756195861495,0.025082338834344565,0.6512290812094814,0.1595119891194667,0.2437145144256167,0.23232662812652705,0.2938397733342491,0.11467261933374599,0.1412363824933401,CO,22.335779571791917,15.026785559222139,57.14506808409183,15.140111771824941,3612202,8,22.335779571791917
0.05082781448046658,0.20363760947614565,0.02986454841777387,0.10784946280678721,0.06144213087223871,0.051123145290830965,0.10158935625784488,0.030380915724728536,0.719650463253119,0.17670225405815598,0.301870609036281,0.3116531952732141,0.2951552042588134,0.10556642186636768,0.13933735501409944,CT,29.97124928364176,35.93364954035189,29.45322093421579,35.901445051072024,884026,12,29.97124928364176
0.04869590104025978,0.17082788276658475,0.034774432456456374,0.10279839391105461,0.05476059511637532,0.04520615005792219,0.09463577765725507,0.029210518284664352,0.7183162785108758,0.16937685139532632,0.30042335333002645,0.26901187952673794,0.28550212779822837,0.1035033074986582,0.13349680519902338,DC,22.297439893871083,28.09861026266718,23.79307381342549,26.83852985089891,684438,7,22.297439893871083
0.05525418534928762,0.23070518513683425,0.042761967229335604,0.12242790041303651,0.08193337883577653,0.060184916566636944,0.13703105728624707,0.03755521468104779,0.7301828723731993,0.2341516011634673,0.39804764242122775,0.4018620262703651,0.3193455656330456,0.10097948523238465,0.15020675030587222,DE,50.81223364891727,68.48051211090501,16.185881057479097,65.79580602341777,70904,40,50.81223364891727
0.06077148762633225,0.22696497883683686,0.03621210735181498,0.08690703140921342,0.07971093329639478,0.065799223042502325,0.11110899215924493,0.032724691761592484,0.7269166439760597,0.1894805906402145,0.3326106328350166,0.3005686379023827,0.3270858151157813,0.14723874246733498,0.17378566970665582,FL,56.51773735521416,53.81138031828259,72.48443405863001,51.08190377257553,7192107,46,56.51773735521416
