CANCER_CrudePrev,ARTHRITIS_CrudePrev,STROKE_CrudePrev,CASTHMA_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,KIDNEY_CrudePrev,BPMED_CrudePrev,CSMOKING_CrudePrev,BPHIGH_CrudePrev,OBESITY_CrudePrev,HIGHCHOL_CrudePrev,male_over_65_pct,female_over_65_pct,placename,stateabbr,risk_score_both_pc,risk_score_pc_1,risk_score_pc_2,risk_score_all,total_population,risk_score,rank_in_state
0.055737764723758985,0.1958518649746669,0.023061683271464007,0.09033296313365821,0.045430308023187295,0.042461150431860425,0.07473511854882928,0.023645137254970885,0.6128247848006897,0.17956031088254246,0.28229326950500083,0.343819903153638,0.3095527789725164,0.09276609337790835,0.10678552438999105,Anchorage,AK,30.215755984806027,26.056467687364403,30.164250483142496,31.803874770167806,296112,30.215755984806027,1
0.059982416051898614,0.2919512774673476,0.045867358408471455,0.11659857481958875,0.0866902150563361,0.0685705958469873,0.14964961593127477,0.037205530671859346,0.7751424639150596,0.20143189706174774,0.4301038790731771,0.39125734712738236,0.34361691232529284,0.13409912972127622,0.16477712430058533,Birmingham,AL,69.49695003298163,64.70887410614334,33.00998668010685,69.3285600330264,415269,69.49695003298163,2
0.06796888805835538,0.25856691746304716,0.023439098950241995,0.09101581475481334,0.05623579413378221,0.04943973550361721,0.0843451838374723,0.024170262115398633,0.740246062692515,0.1319551448348126,0.3270589596662963,0.28976237900946616,0.3334684823775595,0.14387448780576834,0.16754986640948297,Hoover,AL,53.29041568302958,37.81409755472606,59.66121735028824,46.034168001911205,256680,53.29041568302958,5
0.06849059501418854,0.2950332662000161,0.03500305185417591,0.10816927695663826,0.07915250765990912,0.06654592152972559,0.11575860346151876,0.03199185360150552,0.7528522674960549,0.1820254727111534,0.3821295055253284,0.3569542744335954,0.3371139152742078,0.13423555922527644,0.16351893704882747,Huntsville,AL,64.75036146977587,55.104441493739486,45.20625569171668,60.706614811865634,268563,64.75036146977587,3
0.0641552075515459,0.3083378280715958,0.04771568218006773,0.11836941380279702,0.0925146355876642,0.07860332462192,0.15188887160469902,0.03922646015159467,0.7797985836264963,0.21314498702059145,0.435304288002668,0.3884250002498271,0.35433379235475665,0.13976847162799957,0.17318802418007406,Mobile,AL,75.91221378363522,69.89422074570729,36.33977427717019,73.35723565424513,236788,75.91221378363522,1
0.05874331498353234,0.274335376243372,0.039656551269589946,0.11484974613813094,0.08229184717977758,0.06501799439016397,0.13407756824857148,0.034746487930688415,0.7546329839828035,0.2162973169609596,0.40617168109757135,0.38666537233582565,0.3402985439907615,0.12443962113134341,0.15440806948569488,Montgomery,AL,62.936636331479235,58.855226655742754,31.00552157712847,64.26867693390109,215692,62.936636331479235,4
0.051269672724458176,0.26537104798412237,0.03535912946022248,0.11414448683570343,0.0802005524698189,0.05880173527727703,0.1147309249208504,0.030345970537261697,0.7046994346343587,0.19934297521350636,0.370216620746732,0.373971281189468,0.3246774838825025,0.10471646749883005,0.12946148624008827,Tuscaloosa,AL,50.52115290777688,49.01843546850031,24.057030697357153,53.74987516875299,136930,50.52115290777688,6
0.0551622386604191,0.20051794865165723,0.023024703728892044,0.08791639390528876,0.05520122256969748,0.04679456067080903,0.0718951117378377,0.024195898869901172,0.6812594966050239,0.1758449398127097,0.29579072764989994,0.28076187461806124,0.2957594381643636,0.10729855372367514,0.1355789305151459,Fayetteville,AR,36.63849305587665,28.69232276937217,39.99322783045749,34.47084749478013,177416,36.63849305587665,5
0.06353615614853057,0.2655269229442706,0.039981826793427544,0.09925490355422575,0.09176497939784338,0.07724639242026371,0.12360853441886292,0.03548884885395352,0.7509838489918041,0.25116644778199115,0.3741808835380421,0.33644561145564644,0.34168894300201574,0.1304124549779031,0.16277174811409395,Fort Smith,AR,66.35445083869548,59.1905165223295,38.94882122580394,62.315855889834616,98881,66.35445083869548,1
0.06169531250000001,0.263456901042823,0.033180891352975486,0.09946922347070399,0.0765526314295167,0.06450215214378167,0.0994735765885578,0.030329809697937325,0.7338782935306203,0.21842640091167503,0.3428389094151446,0.3398189336452529,0.3167581088636624,0.11373973764158735,0.14553069755097187,Jonesboro,AR,54.616068610236965,47.954838122803054,37.29830556263276,52.93993646960662,87583,54.616068610236965,3
0.060419657044196565,0.2350782224503788,0.03733571892992605,0.09952599749342286,0.06764865834212215,0.06086981417612195,0.11657721346025628,0.03240702050284883,0.7565410123806553,0.2063576500093872,0.38823248607410776,0.3540701335015173,0.32983767496679584,0.1238719889755842,0.15717245349818615,Little Rock,AR,57.54171236345522,50.82987804911255,37.5198418385958,56.89815238607328,211041,57.54171236345522,2
0.05500485136404691,0.22077666156446488,0.028380912474471456,0.09090264912383925,0.06780817169552068,0.05686359740452964,0.09120913285332513,0.028015020000542432,0.7017493803810556,0.20625780080660733,0.31937574395536183,0.3139037849822528,0.3165123769833252,0.09613665308729834,0.12464107010998318,Springdale,AR,43.107740677023756,38.24831586441686,32.353212547500156,42.75182340968489,203123,43.107740677023756,4
0.04025283089090487,0.16177686035454794,0.02188546258392009,0.10415917363296402,0.04793344174473362,0.037740912724296645,0.08689752360727751,0.029280888888888894,0.644157716994926,0.17907311301398707,0.23554019810663904,0.30908876592672013,0.267899995253638,0.07432478879625116,0.08820810167830306,Avondale,AZ,20.474345975629166,22.38915189963216,14.41654125323282,24.894235927685397,108892,20.474345975629166,12
