place,median,low,hi,pct_25,pct_75,sd,IQR
"Athens,GA",32.204528770245936,6.3359854618182885,42.621795695442785,20.707374800376442,35.70721315519473,10.042048504340444,14.999838354818287
"Atlanta,GA",33.66072805284754,4.719439307742033,53.68197167950732,23.835364527918717,41.40310381462986,10.956448688162268,17.56773928671114
"Boynton Beach,FL",41.70213434839843,21.590878858802153,81.29893987035496,35.51987355421831,52.084281703118144,16.216234226403497,16.564408148899837
"Champaign,IL",29.7841473720148,3.3843058194388584,45.243076168035955,17.91620355359576,34.11841513960456,12.800831322283937,16.202211586008797
"Gainesville,FL",27.11115458274677,2.201714242214344,75.22087187393211,16.551782760566315,38.472740800508326,15.047011575802276,21.92095803994201
"Hemet,CA",41.20802126470735,30.10824906296375,67.93344047429343,36.36395662135129,53.41079566790401,11.147559964885124,17.04683904655272
"Mesa,AZ",32.15885889855399,7.731100213777784,84.58457434982661,28.991698479486676,43.18759901359538,14.71780677535268,14.195900534108706
"Montgomery,AL",41.034755503281275,14.975399462525612,61.33093526605802,33.50758317948226,47.622619055515706,9.817791606169042,14.115035876033446
"St. Louis,MO",36.94282374069421,21.95181712034529,57.30571356466232,31.664769286416604,46.27272133605136,8.585322007581524,14.607952049634758
"Surprise,AZ",30.19063796327516,24.066991323479975,77.92049836590293,26.057483827018707,58.677870756736496,20.553754201918387,32.62038692971779
"Birmingham,AL",43.941637952794395,18.810521361233352,57.874427823366446,36.41256677369323,49.28002473019261,9.611634632385979,12.86745795649938
"Boynton Beach,FL",41.70213434839843,21.590878858802153,81.29893987035496,35.51987355421831,52.084281703118144,16.216234226403497,16.564408148899837
"Cape Coral,FL",43.40328908813228,30.341374862130273,63.270187715792524,37.27233783775322,49.272918117695255,8.17058835269755,12.000580279942035
"Clearwater,FL",42.92201257625844,28.667012754569367,66.3843403247837,39.56165255209157,51.52632544675692,7.965276035026163,11.964672894665348
"Cleveland,OH",42.39793067372888,18.29722555593305,78.2838500525148,38.02934216925553,49.61641184771594,9.132274615250013,11.58706967846041
"Dayton,OH",43.123426945821706,6.036555655868838,78.11251831023817,38.6037482885692,49.75670653715943,11.768067456097533,11.152958248590231
"Hemet,CA",41.20802126470735,30.10824906296375,67.93344047429343,36.36395662135129,53.41079566790401,11.147559964885124,17.04683904655272
"Huntsville,AL",42.73158516942681,22.092615786494893,56.3407569497978,32.8979357457603,45.56486398033384,8.362095566014597,12.66692823457354
"Lake Charles,LA",41.47792406325806,27.435372750785575,53.95477227324474,36.362570445828155,46.46880262533793,7.480313755129158,10.106232179509774
"Lakeland,FL",43.92277978654071,18.027695550339725,65.81528242633375,38.26335508131929,49.207090839924334,10.90794145593456,10.943735758605044
"Largo,FL",45.0364138250608,26.131756174885478,75.27809365196437,41.080908252092655,53.24018689761023,11.59023472806582,12.159278645517574
"Montgomery,AL",41.034755503281275,14.975399462525612,61.33093526605802,33.50758317948226,47.622619055515706,9.817791606169042,14.115035876033446
"Palm Coast,FL",46.8425259258098,33.93685713896533,58.079675341392665,43.72130658303257,54.76124462749426,7.481766500460076,11.039938044461685
"Pompano Beach,FL",43.62244338973863,27.126922939189633,64.29156597347033,37.02701550404639,48.5411356646566,9.708932327907567,11.514120160610211
"Shreveport,LA",42.82507296427623,21.65759906019707,63.97069653978649,37.67029204416856,49.74932803739194,8.582298240285606,12.079035993223378
"Gary,IN",50.842530030162656,42.491199467559916,61.820324243574156,47.071887345863914,54.63300141414319,5.165357535781635,7.561114068279274
