names,X.IncMSE,IncNodePurity
median_income,41.270294242523136,56320.964357945995
unemployment_pct,37.47485574832084,33080.32132251297
median_home_value,74.80156768841421,75672.88183763498
at_below_poverty_pct,95.74350428865205,64860.45376799028
non_employment_pct,267.4276049405018,325121.81597981387
less_than_high_school_pct,70.17022019711823,62185.783492761475
no_health_insurance_pct,52.246757781957655,33533.45395841207
more_than_one_occupant_per_room_pct,65.71964198155987,42590.66673551685
african_american_pct,70.03617225433673,80754.88884838378
hispanic_pct,79.53285088119674,65511.20588305791
asian_pct,82.64424097204991,99510.6088508884
other_race_pct,47.593736868372254,41439.701543361625
